"case_id","category","deterministic_pass","semantic_pass","judge_score"
"longmemeval_gpt4_2655b836","temporal_reasoning","false","true","1.000000"
"longmemeval_gpt4_2487a7cb","temporal_reasoning","false","true","1.000000"
"longmemeval_gpt4_76048e76","temporal_reasoning","true","true","1.000000"
"longmemeval_gpt4_2312f94c","temporal_reasoning","true","true","1.000000"
"longmemeval_0bb5a684","temporal_reasoning","false","false","0.000000"
"longmemeval_08f4fc43","temporal_reasoning","false","true","1.000000"
"longmemeval_2c63a862","temporal_reasoning","false","true","1.000000"
"longmemeval_gpt4_385a5000","temporal_reasoning","false","false","0.000000"
"longmemeval_2a1811e2","temporal_reasoning","false","false","0.000000"
"longmemeval_bbf86515","temporal_reasoning","false","false","0.000000"
"longmemeval_gpt4_5dcc0aab","temporal_reasoning","true","true","1.000000"
"longmemeval_gpt4_0b2f1d21","temporal_reasoning","false","false","0.000000"
"longmemeval_f0853d11","temporal_reasoning","false","false","0.000000"
"longmemeval_gpt4_6ed717ea","temporal_reasoning","false","true","1.000000"
"longmemeval_gpt4_70e84552","temporal_reasoning","false","true","1.000000"
"longmemeval_a3838d2b","temporal_reasoning","false","false","0.000000"
"longmemeval_gpt4_93159ced","temporal_reasoning","false","false","0.000000"
"longmemeval_gpt4_2d58bcd6","temporal_reasoning","true","true","1.000000"
"longmemeval_gpt4_65aabe59","temporal_reasoning","false","true","1.000000"
"longmemeval_982b5123","temporal_reasoning","false","false","0.000000"
"longmemeval_b9cfe692","temporal_reasoning","false","false","0.000000"
"longmemeval_gpt4_4edbafa2","temporal_reasoning","false","true","1.000000"
"longmemeval_c8090214","temporal_reasoning","false","true","1.000000"
"longmemeval_gpt4_483dd43c","temporal_reasoning","false","true","1.000000"
"longmemeval_e4e14d04","temporal_reasoning","false","false","0.000000"
"longmemeval_c9f37c46","temporal_reasoning","true","true","1.000000"
"longmemeval_gpt4_2c50253f","temporal_reasoning","false","false","0.000000"
"longmemeval_dcfa8644","temporal_reasoning","false","true","1.000000"
"longmemeval_gpt4_b4a80587","temporal_reasoning","false","false","0.000000"
"longmemeval_gpt4_9a159967","temporal_reasoning","true","false","0.000000"
"longmemeval_cc6d1ec1","temporal_reasoning","false","false","0.000000"
"longmemeval_gpt4_8c8961ae","temporal_reasoning","false","true","1.000000"
"longmemeval_gpt4_d9af6064","temporal_reasoning","true","false","0.000000"
"longmemeval_gpt4_7de946e7","temporal_reasoning","false","true","1.000000"
"longmemeval_d01c6aa8","temporal_reasoning","false","false","0.000000"
"longmemeval_993da5e2","temporal_reasoning","false","true","1.000000"
"longmemeval_a3045048","temporal_reasoning","false","true","1.000000"
"longmemeval_gpt4_d31cdae3","temporal_reasoning","false","true","1.000000"
"longmemeval_gpt4_cd90e484","temporal_reasoning","false","true","1.000000"
"longmemeval_gpt4_88806d6e","temporal_reasoning","true","false","0.000000"
"longmemeval_gpt4_4cd9eba1","temporal_reasoning","false","true","1.000000"
"longmemeval_gpt4_93f6379c","temporal_reasoning","true","true","1.000000"
"longmemeval_b29f3365","temporal_reasoning","false","false","0.000000"
"longmemeval_gpt4_2f56ae70","temporal_reasoning","false","false","0.000000"
"longmemeval_6613b389","temporal_reasoning","true","true","1.000000"
"longmemeval_gpt4_78cf46a3","temporal_reasoning","false","false","0.000000"
"longmemeval_gpt4_0a05b494","temporal_reasoning","false","false","0.000000"
"longmemeval_gpt4_1a1dc16d","temporal_reasoning","true","true","1.000000"
"longmemeval_gpt4_2f584639","temporal_reasoning","false","true","1.000000"
"longmemeval_gpt4_213fd887","temporal_reasoning","true","false","0.000000"
"longmemeval_gpt4_5438fa52","temporal_reasoning","true","false","0.000000"
"longmemeval_gpt4_c27434e8","temporal_reasoning","true","true","1.000000"
"longmemeval_gpt4_fe651585","temporal_reasoning","true","false","0.000000"
"longmemeval_8c18457d","temporal_reasoning","false","true","1.000000"
"longmemeval_gpt4_70e84552_abs","abstention","false","false","0.000000"
"longmemeval_gpt4_93159ced_abs","abstention","false","true","1.000000"
"longmemeval_982b5123_abs","abstention","false","true","1.000000"
"longmemeval_c8090214_abs","abstention","false","true","1.000000"
"longmemeval_gpt4_c27434e8_abs","abstention","false","true","1.000000"
"longmemeval_gpt4_fe651585_abs","abstention","false","true","1.000000"
"longmemeval_0a995998","multi_session","false","false","0.000000"
"longmemeval_6d550036","multi_session","false","false","0.000000"
"longmemeval_gpt4_59c863d7","multi_session","false","false","0.000000"
