short_sha	date	kind	author	committer	branches	file_count	top_level	subject	full_sha
8edbc00	2026-06-09	merge	dzx0902 <145189098+dzx0902@users.noreply.github.com>	GitHub <noreply@github.com>	dev,origin/dev,origin/jflin	0		Merge pull request #72 from dzx0902/feat/evaluation-benchmark-framework	8edbc00cb51891dc20709a8d0ac3c9767c0f7899
525c4d8	2026-06-09	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin	1	backend	fix(test): avoid unused datetime imports in PR build	525c4d84f409330ad3f7e61da10be2103dd62377
a7e5aae	2026-06-09	merge	dzx0902 <145189098+dzx0902@users.noreply.github.com>	GitHub <noreply@github.com>	dev,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin	0		Merge branch 'dev' into feat/evaluation-benchmark-framework	a7e5aae3002d1b77f21da8e05bd6cf7f2a29d333
965ea4a	2026-06-09	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin	12	backend,docs,evaluation	feat(evaluation): add resumable benchmark judging	965ea4aa40e74b07b3168cb1440173fcc9608aae
231474c	2026-06-08	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin	11	backend,docs,evaluation	feat(memory): add batch writes and explicit supersession	231474c5fe28f085a9e8a21955b4f23a2ce1bef2
767eb29	2026-06-08	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin	32	.gitignore,backend,docs,evaluation	feat(evaluation): add official benchmarks and semantic judging	767eb297fe164c7423816b0a152c71982cbd228b
cc37c58	2026-06-07	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin	9	backend,evaluation	fix(evaluation): harden live benchmark scoring and embedding retries	cc37c588e7e09d3cc48c1a91763900d4e7cc646a
50609db	2026-06-06	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin	30	.env.example,backend,docs,evaluation	feat(evaluation): complete end-to-end benchmark pipeline	50609db7d001a683f93f92a3ef2e1567be30f06c
9625ab2	2026-06-04	merge	dzx0902 <145189098+dzx0902@users.noreply.github.com>	GitHub <noreply@github.com>	origin,origin/main	0		Merge pull request #71 from dzx0902/dev	9625ab238f107fdec978f11db942a9583e718e65
28c2cc6	2026-06-04	merge	dzx0902 <145189098+dzx0902@users.noreply.github.com>	GitHub <noreply@github.com>	dev,origin,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin,origin/main	0		Merge pull request #70 from dzx0902/jflin	28c2cc61fbb63d82f7425a01b7eea024500f2cc3
27abaa9	2026-06-03	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin,origin/main	12	backend,frontend	feat: add provider-backed QA generation	27abaa9471b2cf363fa411b6f0bfb2f50e714ced
79e1d96	2026-06-02	merge	dzx0902 <145189098+dzx0902@users.noreply.github.com>	GitHub <noreply@github.com>	origin,origin/main	0		Merge pull request #69 from dzx0902/dev	79e1d96ce71c2db2bb31e78c07c5a00792177083
98d13ef	2026-05-26	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin,origin/main	6	backend,docs	Add structured context pack metadata	98d13ef9c72cb7aa85cac52cdd3eee634bad169a
8ff5609	2026-05-26	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin,origin/main	5	backend,docs	Add forgetting verification report	8ff5609f63c8d57c31c9083f8bd3ade5b1f69950
45dbdef	2026-05-26	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin,origin/main	5	backend,docs	Add memory conflict detection endpoint	45dbdef6469a3bd61603788c1ca61740186da0c4
11cc9ae	2026-05-26	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin,origin/main	7	backend,docs,evaluation	Exercise extraction in evaluation baseline	11cc9ae6a825ef156810db3103d243ab4648e97a
bddf464	2026-05-26	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin,origin/main	8	backend,docs	Add rule based memory extraction candidates	bddf46446972f0a4bd1c9d9dbb9fdc05f17dafb4
5b4c7b1	2026-05-26	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin,origin/main	8	backend,docs,evaluation	Compare evaluation baselines and chunk vectors	5b4c7b11caf0adcd2bc8aeec4c5f043075394baf
c618588	2026-05-26	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin,origin/main	11	backend,docs,evaluation	Add vector recall evaluation baseline	c618588e8fa38bdafe18fd019d30a10b1b2fcd5e
58218a6	2026-05-26	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin,origin/main	9	backend,database,docs	Implement memory lifecycle status validation	58218a6d1a302389236f1b2e2ed1e5e1f712a5d6
ce1c77c	2026-05-25	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin,origin/main	2	backend	feat(backend): add hybrid memory recall	ce1c77c9ad97bb94aadcd9791e2e9b15ce19d7fb
e8b5c25	2026-05-25	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin,origin/main	5	backend	feat(backend): persist generated embeddings	e8b5c25f4ce56779cc8ed1fb6757ea8c00c4f3f1
16c83f9	2026-05-25	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin,origin/main	10	backend,database,docs	feat(backend): add embedding foundation	16c83f93dfa34ee74276a1439d9e5b8a2ae8b2e4
1fe96fe	2026-05-25	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin,origin/main	5	backend,docs,evaluation	feat(evaluation): report governance metrics	1fe96febb151f509330e27fdf37055befd4e8885
d4ff9ea	2026-05-25	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin,origin/main	6	backend,evaluation	feat(evaluation): add local memory baselines	d4ff9ea32b208dd747faf240e81f98dee797c32c
17723f1	2026-05-25	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin,origin/main	6	backend,evaluation	feat(evaluation): convert external benchmark samples	17723f11396e26e989f201969d7009e1131f3f05
d8072ab	2026-05-25	non-merge	dzx0902 <3575895791@qq.com>	dzx0902 <3575895791@qq.com>	dev,origin,origin/dev,origin/feat/evaluation-benchmark-framework,origin/jflin,origin/main	54	.gitignore,backend,docs,evaluation	feat(evaluation): add benchmark framework	d8072abcc593e25f2ee45616900b2ffee3b667fd
69b78a6	2026-05-24	merge	dzx0902 <145189098+dzx0902@users.noreply.github.com>	GitHub <noreply@github.com>	main,origin,origin/main	0		Merge pull request #66 from dzx0902/dev	69b78a6c47585933c5b79976071b0a4649f57227
